created_at,sentimental_value,sentimental_values
2020-03-19,-0.027272727,-27.273
2020-03-20,0.154943688,154.944
2020-03-21,0.165088856,165.089
2020-03-22,0.130557205,130.557
2020-03-23,0.134809064,134.809
2020-03-24,0.109248206,109.248
2020-03-25,0.096093999,96.094
2020-03-26,0.150025582,150.026
2020-03-27,0.095688057,95.688
2020-03-28,0.123416598,123.417
2020-03-29,0.195201859,195.202
2020-03-30,0.125778625,125.779
2020-03-31,0.155463113,155.463
2020-04-01,0.121363775,121.364
2020-04-02,0.115221157,115.221
2020-04-03,0.130254527,130.255
2020-04-04,0.04131329,41.313
2020-04-05,0.120366577,120.367
2020-04-06,0.112194928,112.195
2020-04-07,0.090698411,90.698
2020-04-08,0.149353881,149.354
2020-04-09,0.132922552,132.923
2020-04-10,0.145281538,145.282
2020-04-11,0.062314259,62.314
2020-04-12,0.130087713,130.088
2020-04-13,0.199995596,199.996
2020-04-14,0.073794872,73.795
2020-04-15,-0.015831019,-15.831
2020-04-16,0.12243498,122.435
2020-04-17,0.12243498,122.435
2020-04-18,0.12243498,122.435
2020-04-19,0.12243498,122.435
2020-04-20,0.12243498,122.435
2020-04-21,0.12243498,122.435
2020-04-22,0.12243498,122.435
2020-04-23,0.12243498,122.435
2020-04-24,0.12243498,122.435
2020-04-25,0.12243498,122.435
2020-04-26,0.12243498,122.435
2020-04-27,0.12243498,122.435
2020-04-28,0.102883134,102.883
2020-04-29,0.083973204,83.973
2020-04-30,0.117580388,117.58
2020-05-01,0.132334632,132.335
2020-05-02,0.187588943,187.589
2020-05-03,0.116152975,116.153
2020-05-04,0.106472719,106.473
2020-05-05,0.07688682,76.887
2020-05-06,0.136118304,136.118
2020-05-07,0.089829671,89.83
2020-05-08,0.155884433,155.884
2020-05-09,0.106251662,106.252
2020-05-10,0.150769039,150.769
2020-05-11,0.134036279,134.036
2020-05-12,0.097409004,97.409
2020-05-13,0.068701954,68.702
2020-05-14,0.120641363,120.641
2020-05-15,0.124959336,124.959
2020-05-16,0.118671201,118.671
2020-05-17,0.150954325,150.954
2020-05-18,0.125754469,125.754
2020-05-19,0.118906062,118.906
2020-05-20,0.133495352,133.495
2020-05-21,0.112477135,112.477
2020-05-22,0.145312566,145.313
2020-05-23,0.104965805,104.966
2020-05-24,0.128371635,128.372
2020-05-25,0.124395986,124.396
2020-05-26,0.130071068,130.071
2020-05-27,0.173906755,173.907
2020-05-28,0.150844669,150.845
2020-05-29,0.173627679,173.628
2020-05-30,0.158591747,158.592
2020-05-31,0.158353926,158.354
2020-06-01,0.160232997,160.233
2020-06-02,0.067155089,67.155
2020-06-03,0.130669957,130.67
2020-06-04,0.120017678,120.018
2020-06-05,0.144979218,144.979
2020-06-06,0.14989478,149.895
2020-06-07,0.162305641,162.306
2020-06-08,0.16704532,167.045
2020-06-09,0.100334839,100.335
2020-06-10,0.10920832,109.208
2020-06-11,0.091805902,91.806
2020-06-12,0.164123385,164.123
2020-06-13,0.10419657,104.197
2020-06-14,0.114708934,114.709
2020-06-15,0.100641602,100.642
2020-06-16,0.125372463,125.372
2020-06-17,0.162663315,162.663
2020-06-18,0.086808927,86.809
2020-06-19,0.144941418,144.941
2020-06-20,0.14228707,142.287
2020-06-21,0.153386871,153.387
2020-06-22,0.164913712,164.914
2020-06-23,0.003730848,3.731
2020-06-24,0.86,86
2020-06-25,-0.02298,-22.98
2020-06-26,0.1528,152.8
2020-06-27,0.165,165
2020-06-28,0.17615,176.15
2020-06-29,0.108,108
2020-06-30,0.1301,130.1
2020-07-01,,
2020-07-02,,
2020-07-03,,
2020-07-04,,
2020-07-05,,
2020-07-06,,
2020-07-07,,
2020-07-08,,
2020-07-09,,
2020-07-10,,
2020-07-11,,
2020-07-12,,
2020-07-13,,
2020-07-14,,
2020-07-15,,
2020-07-16,,
2020-07-17,,
2020-07-18,,
2020-07-19,,
2020-07-20,,
2020-07-21,,
2020-07-22,,
2020-07-23,,
2020-07-24,,
2020-07-25,,
2020-07-26,,
2020-07-27,,
2020-07-28,,
2020-07-29,,
2020-07-30,,
2020-07-31,,
